1900-1#6日 02:03:57小寒#20日 19:32:25大寒
1900-10#9日 02:13:09寒露#24日 04:55:16霜降
1900-11#8日 04:39:44立冬#23日 01:47:50小雪
1900-12#7日 20:55:50大雪#22日 14:41:34冬至
1900-2#4日 13:51:31立春#19日 10:01:14雨水
1900-3#6日 08:21:52惊蛰#21日 09:39:01春分
1900-4#5日 13:52:41清明#20日 21:27:06谷雨
1900-5#6日 07:55:12立夏#21日 21:16:55小满
1900-6#6日 12:38:55芒种#22日 05:39:45夏至
1900-7#7日 23:10:08小暑#23日 16:36:07大暑
1900-8#8日 08:50:34立秋#23日 23:19:49处暑
1900-9#8日 11:16:38白露#23日 20:20:11秋分
1901-1#6日 07:53:23小寒#21日 01:16:28大寒
1901-10#9日 08:06:28寒露#24日 10:46:14霜降
1901-11#8日 10:34:29立冬#23日 07:41:13小雪
1901-12#8日 02:52:37大雪#22日 20:36:35冬至
1901-2#4日 19:39:52立春#19日 15:44:54雨水
1901-3#6日 14:10:53惊蛰#21日 15:23:35春分
1901-4#5日 19:44:21清明#21日 03:13:26谷雨
1901-5#6日 13:50:24立夏#22日 03:04:39小满
1901-6#6日 18:36:27芒种#22日 11:27:46夏至
1901-7#8日 05:07:34小暑#23日 22:23:45大暑
1901-8#8日 14:46:06立秋#24日 05:07:29处暑
1901-9#8日 17:10:15白露#24日 02:08:56秋分
1902-1#6日 13:51:33小寒#21日 07:11:56大寒
1902-10#9日 13:45:10寒露#24日 16:35:38霜降
1902-11#8日 16:17:46立冬#23日 13:35:23小雪
1902-12#8日 08:41:01大雪#23日 02:35:31冬至
1902-2#5日 01:38:10立春#19日 21:39:42雨水
1902-3#6日 20:07:32惊蛰#21日 21:16:33春分
1902-4#6日 01:37:26清明#21日 09:04:08谷雨
1902-5#6日 19:38:48立夏#22日 08:53:31小满
1902-6#7日 00:19:47芒种#22日 17:15:08夏至
1902-7#8日 10:46:19小暑#24日 04:09:52大暑
1902-8#8日 20:22:16立秋#24日 10:53:03处暑
1902-9#8日 22:46:25白露#24日 07:55:20秋分
1903-1#6日 19:43:43小寒#21日 13:13:32大寒
1903-10#9日 19:41:44寒露#24日 22:23:03霜降
1903-11#8日 22:13:23立冬#23日 19:21:24小雪
1903-12#8日 14:35:19大雪#23日 08:20:25冬至
1903-2#5日 07:31:17立春#20日 03:40:48雨水
1903-3#7日 01:58:52惊蛰#22日 03:14:46春分
1903-4#6日 07:25:53清明#21日 14:58:39谷雨
1903-5#7日 01:25:22立夏#22日 14:45:01小满
1903-6#7日 06:07:07芒种#22日 23:04:55夏至
1903-7#8日 16:36:36小暑#24日 09:58:45大暑
1903-8#9日 02:15:50立秋#24日 16:41:35处暑
1903-9#9日 04:42:21白露#24日 13:43:41秋分
1904-1#7日 01:37:02小寒#21日 18:57:51大寒
1904-10#9日 01:35:34寒露#24日 04:19:02霜降
1904-11#8日 04:04:58立冬#23日 01:15:53小雪
1904-12#7日 20:25:20大雪#22日 14:13:56冬至
1904-2#5日 13:24:07立春#20日 09:24:51雨水
1904-3#6日 07:51:39惊蛰#21日 08:58:34春分
1904-4#5日 13:18:51清明#20日 20:42:08谷雨
1904-5#6日 07:18:34立夏#21日 20:28:55小满
1904-6#6日 12:00:58芒种#22日 04:51:21夏至
1904-7#7日 22:31:41小暑#23日 15:49:35大暑
1904-8#8日 08:11:51立秋#23日 22:36:24处暑
1904-9#8日 10:37:58白露#23日 19:40:12秋分
1905-1#6日 07:27:06小寒#21日 00:51:56大寒
1905-10#9日 07:19:36寒露#24日 10:07:55霜降
